,Jahr,alc_per_cap,Total verurteilte Personen,Zigaretten_Mia,Bev̦lkerung,cig_per_cap,crime_per_1000
0,1999,9.2,27367,14600000000.0,7123537,2049.543646646322,3.841771299847253
1,2000,9.2,26636,14500000000.0,7164444,2023.8835002409119,3.71780420085634
2,2001,9.2,26758,14200000000.0,7197638,1972.8694330001038,3.717608471001181
3,2002,9.0,27893,14200000000.0,7255653,1957.0946956807334,3.8443128413114573
4,2003,9.0,30029,14200000000.0,7313853,1941.5211106922711,4.105770241759029
5,2004,8.8,33150,13800000000.0,7364148,1873.9438696777956,4.501539078247748
6,2005,8.5,33769,12300000000.0,7415102,1658.776912306803,4.554084353795807
7,2006,8.6,34091,12500000000.0,7459128,1675.7991014499282,4.570373373402361
8,2007,8.8,30981,11500000000.0,7508739,1531.5487727033794,4.125992393662903
9,2008,8.7,32898,12100000000.0,7593494,1593.4693567941188,4.332392966926687
10,2009,8.6,34291,12300000000.0,7701856,1597.017653926534,4.452303444780064
11,2010,8.5,36081,11100000000.0,7785806,1425.671279248417,4.634202290681273
12,2011,8.5,34966,10600000000.0,7870134,1346.8639796984396,4.442872256050532
13,2012,8.4,39259,11400000000.0,7954662,1433.1218598602932,4.935344833004847
14,2013,8.3,40814,10800000000.0,8039060,1343.440651021388,5.076961734332123
15,2014,8.1,39186,10200000000.0,8139631,1253.1280594906575,4.81422315090205
16,2015,8.1,37560,9900000000.0,8237666,1201.7967225182472,4.559543929069228
17,2016,7.9,38102,9600000000.0,8327126,1152.8587414193084,4.575648308912343
18,2017,7.8,36881,9600000000.0,8419550,1140.203455054011,4.3804003776923945
19,2018,7.7,35665,9200000000.0,8542300,1076.9933156175737,4.175105065380518
